Scott Evans,Alex Smith,Nick Oldenburger,Nick O
RJ Harvey,RJ Harvey,Courtland Sutton,Courtland Sutton
Stefon Diggs,Drake Maye,TreVeyon Henderson,Drake Maye
Trevor Lawrence,Trevor Lawrence,Trevor Lawrence,Travis Etienne
Kenneth Gainwell,Chris Boswell,Kenneth Gainwell,PIT
HOU,Nico Collins,HOU,Nico Collins
Josh Allen,James Cook,Josh Allen,Josh Allen
Oronde Gadsden,Ladd McConkey,Ladd McConkey,Omarion Hampton
Jaxon Smith-Njigba,Jaxon Smith-Njigba,Jaxon Smith-Njigba,Jaxon Smith-Njigba
D'Andre Swift,Colston Loveland,Cairo Santos,D'Andre Swift
Jalen Hurts,Jalen Hurts,Dallas Goedert,Jalen Hurts
Rico Dowdle,CAR,Tetairoa McMillian,Ryan Fitzgerald
Puka Nacua,Puka Nacua,Matthew Stafford,Puka Nacua
Christian McCaffrey,Christian McCaffrey,Christian McCaffrey,George Kittle
Brandon McManus,Christian Watson,Josh Jacobs,Josh Jacobs
